epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.0569,3.24647,10.7628,1.45225,0.004,0.59189,0.01349,0.00368,2.60752,7.23704,1.17052,0.0706977,0.00325581,0.00325581
2,5.91041,2.52012,4.00325,1.14274,0.22013,0.65906,0.40781,0.12268,2.54684,4.48313,1.17239,0.0406948,0.00658629,0.00658629
3,8.54821,2.49591,3.8187,1.13148,0.56318,0.44233,0.41397,0.11339,2.80097,5.84643,1.33036,0.0106804,0.00990525,0.00990525
4,11.1937,2.53633,3.69568,1.16165,0.31034,0.30545,0.18224,0.04309,3.28612,5.636,1.55493,0.00996097,0.00996097,0.00996097
5,13.7753,2.49058,3.34564,1.15342,0.40214,0.46768,0.32039,0.08809,2.69961,5.3654,1.23156,0.00993068,0.00993068,0.00993068
6,16.348,2.4012,3.12512,1.13438,0.571,0.56527,0.52704,0.18386,2.23298,3.87235,1.14308,0.00989183,0.00989183,0.00989183
7,19.1257,2.31322,3.0307,1.12215,0.64519,0.5526,0.56951,0.22047,2.08608,6.33004,1.12031,0.00984449,0.00984449,0.00984449
8,21.8818,2.30185,2.94584,1.10354,0.55107,0.42712,0.41156,0.1199,2.62807,6.79858,1.20688,0.00978873,0.00978873,0.00978873
9,24.416,2.25747,2.9239,1.11302,0.68672,0.54731,0.61443,0.23054,2.12037,3.71368,1.1527,0.00972466,0.00972466,0.00972466
10,27.037,2.22133,2.83699,1.09584,0.70747,0.60076,0.61074,0.17873,2.46745,4.86552,1.14641,0.00965239,0.00965239,0.00965239
11,29.5905,2.22749,2.71415,1.09143,0.66689,0.54119,0.59214,0.20645,2.25082,2.71194,1.15059,0.00957205,0.00957205,0.00957205
12,32.2281,2.16337,2.68678,1.0832,0.61331,0.55767,0.56406,0.19124,2.31361,2.60973,1.12739,0.00948377,0.00948377,0.00948377
13,34.8678,2.15482,2.69821,1.07063,0.65706,0.53485,0.54136,0.15162,2.72173,2.95614,1.19983,0.00938772,0.00938772,0.00938772
14,37.3974,2.16392,2.5652,1.07653,0.7796,0.62763,0.66641,0.22532,2.34736,2.66126,1.14501,0.00928405,0.00928405,0.00928405
15,40.0459,2.11913,2.61441,1.06166,0.78466,0.52598,0.57461,0.20628,2.2797,3.86616,1.16691,0.00917296,0.00917296,0.00917296
16,42.6257,2.11153,2.57566,1.06507,0.71196,0.64132,0.67731,0.23249,2.19154,2.5518,1.15536,0.00905463,0.00905463,0.00905463
17,45.3988,2.07545,2.57005,1.04833,0.74164,0.64259,0.67301,0.22287,2.27145,2.46059,1.1139,0.00892928,0.00892928,0.00892928
18,47.9809,2.06634,2.50969,1.04997,0.78505,0.6616,0.71394,0.26394,2.23602,2.28738,1.09352,0.00879713,0.00879713,0.00879713
19,50.5891,2.09493,2.52398,1.0612,0.75513,0.62611,0.68315,0.25704,2.21592,2.6802,1.10238,0.00865839,0.00865839,0.00865839
20,53.1268,2.06733,2.5277,1.04101,0.74366,0.61977,0.66726,0.19894,2.39185,2.5433,1.12922,0.00851333,0.00851333,0.00851333
21,55.7752,2.05261,2.4531,1.04726,0.79504,0.74018,0.79003,0.29707,1.9928,2.18852,1.06528,0.0083622,0.0083622,0.0083622
22,58.5171,2.02049,2.36788,1.03986,0.7691,0.66704,0.75979,0.30702,1.97686,2.30998,1.08105,0.00820525,0.00820525,0.00820525
