epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.5046,3.75235,7.49679,1.68776,0.5585,0.48542,0.43378,0.15514,2.30304,1.63351,1.15043,0.068093,0.000651163,0.000651163
2,7.56515,2.25451,1.67783,1.09894,0.66357,0.59442,0.60413,0.20132,2.20562,1.94675,1.04859,0.0354258,0.00131726,0.00131726
3,11.1663,2.1044,1.57724,1.0394,0.64431,0.64132,0.64334,0.2564,2.02327,1.28861,1.05017,0.00275624,0.00198105,0.00198105
4,14.8855,2.08719,1.40614,1.03366,0.68944,0.59442,0.62146,0.23595,2.0109,1.43962,1.0542,0.00199219,0.00199219,0.00199219
5,18.1447,2.0911,1.36686,1.04181,0.42054,0.48669,0.43143,0.15298,2.19609,1.57086,1.08893,0.00198614,0.00198614,0.00198614
6,21.3734,2.08447,1.29418,1.04766,0.73614,0.66413,0.71508,0.24204,2.15452,1.17371,1.06028,0.00197837,0.00197837,0.00197837
7,24.949,2.05735,1.26823,1.03841,0.66887,0.70089,0.71805,0.29057,2.03567,1.36657,1.06699,0.0019689,0.0019689,0.0019689
8,28.681,2.02425,1.24575,1.02853,0.73919,0.69835,0.73148,0.28972,1.94339,1.16705,1.03997,0.00195775,0.00195775,0.00195775
9,32.2828,1.98253,1.19034,1.03456,0.75678,0.73257,0.76217,0.3116,1.9195,1.16007,1.05,0.00194493,0.00194493,0.00194493
10,35.8668,2.01145,1.2106,1.02739,0.74211,0.72578,0.73722,0.27976,2.06842,1.13658,1.06452,0.00193048,0.00193048,0.00193048
11,39.1446,2.01252,1.18191,1.03346,0.7045,0.72243,0.74067,0.26737,1.96661,1.22132,1.05314,0.00191441,0.00191441,0.00191441
12,42.7654,1.94545,1.14889,1.01924,0.79956,0.72804,0.80269,0.32609,1.97563,1.09437,1.04531,0.00189675,0.00189675,0.00189675
13,46.4645,1.95354,1.15326,1.00808,0.80043,0.73638,0.79135,0.31527,1.9433,1.13408,1.03768,0.00187754,0.00187754,0.00187754
14,49.7063,1.96654,1.1484,1.01455,0.80734,0.72877,0.78818,0.3192,1.96957,1.14139,1.03109,0.00185681,0.00185681,0.00185681
15,52.9575,1.9061,1.11683,0.99499,0.80695,0.73131,0.79221,0.31448,1.96041,1.05459,1.04013,0.00183459,0.00183459,0.00183459
16,56.2,1.93819,1.14498,1.01095,0.78775,0.70469,0.77979,0.32413,1.87428,1.00549,1.03005,0.00181093,0.00181093,0.00181093
17,59.9117,1.94929,1.11898,1.01463,0.71006,0.67934,0.7135,0.28458,1.87764,1.07691,1.03981,0.00178586,0.00178586,0.00178586
18,63.185,1.89562,1.0918,0.99835,0.80361,0.71483,0.77948,0.32355,1.95897,1.00652,1.03686,0.00175943,0.00175943,0.00175943
19,66.4428,1.8944,1.09792,1.00663,0.74615,0.73391,0.79482,0.33886,1.90954,1.03859,1.04771,0.00173168,0.00173168,0.00173168
20,70.0546,1.89448,1.10504,0.99094,0.77031,0.75285,0.78599,0.31656,1.93872,1.02314,1.02628,0.00170267,0.00170267,0.00170267
21,73.4046,1.9052,1.08605,1.00324,0.80567,0.75668,0.8092,0.3375,1.91216,1.00375,1.03944,0.00167244,0.00167244,0.00167244
22,77.3261,1.86883,1.05783,0.99513,0.80084,0.73638,0.81608,0.34967,1.86593,1.01148,1.0219,0.00164105,0.00164105,0.00164105
23,80.935,1.86169,1.06488,0.98991,0.84463,0.78074,0.83715,0.32556,1.99732,0.98652,1.0403,0.00160855,0.00160855,0.00160855
