epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2716,2.12347,6.20346,1.49753,0.31208,0.34279,0.2434,0.08466,2.1675,2.50531,1.41424,0.0685102,0.00165736,0.00165736
2,33.8468,1.9165,2.43662,1.30661,0.33323,0.46572,0.30548,0.10424,2.1781,2.03137,1.44906,0.0367997,0.00328015,0.00328015
3,49.6063,1.94618,2.07782,1.31454,0.32607,0.44917,0.33104,0.11097,2.15045,2.04915,1.42696,0.00504515,0.00485893,0.00485893
4,65.4659,1.99596,2.07529,1.32475,0.43449,0.38061,0.33373,0.11989,2.20091,2.30073,1.59619,0.004802,0.004802,0.004802
5,81.1826,2.06076,2.0803,1.4166,0.40115,0.41807,0.33827,0.12653,2.11982,2.11446,1.49013,0.004736,0.004736,0.004736
6,96.8148,1.93578,1.94402,1.39554,0.48675,0.28369,0.26871,0.11686,2.23184,2.82769,1.58853,0.00467,0.00467,0.00467
7,112.719,1.8647,1.78794,1.36418,0.357,0.3754,0.32097,0.12597,2.22773,2.00866,1.59068,0.004604,0.004604,0.004604
8,128.17,1.82546,1.68715,1.30411,0.51564,0.513,0.41006,0.18193,1.88202,1.96458,1.4084,0.004538,0.004538,0.004538
9,143.774,1.76653,1.62297,1.30005,0.44401,0.5456,0.45149,0.19878,1.77779,1.68604,1.32024,0.004472,0.004472,0.004472
10,159.408,1.80731,1.57894,1.32176,0.60706,0.63121,0.56303,0.22758,1.89148,1.54502,1.36791,0.004406,0.004406,0.004406
11,175.234,1.74486,1.55823,1.26887,0.60185,0.64303,0.57824,0.27943,1.71858,1.43095,1.3022,0.00434,0.00434,0.00434
12,191.001,1.6658,1.43026,1.2368,0.63312,0.65721,0.58568,0.27037,1.72109,1.6051,1.29506,0.004274,0.004274,0.004274
13,206.89,1.68659,1.38767,1.21205,0.58886,0.53664,0.51416,0.24148,1.80849,1.65793,1.44636,0.004208,0.004208,0.004208
14,222.474,1.62601,1.33305,1.22313,0.61842,0.70449,0.70379,0.3626,1.63412,1.23578,1.28476,0.004142,0.004142,0.004142
15,238.845,1.61908,1.32564,1.20649,0.68217,0.69514,0.6909,0.33618,1.57643,1.26451,1.17203,0.004076,0.004076,0.004076
16,254.308,1.60635,1.27385,1.19433,0.70715,0.77778,0.81819,0.45426,1.49873,1.11314,1.16685,0.00401,0.00401,0.00401
17,270.073,1.5556,1.24356,1.17856,0.71316,0.74232,0.7691,0.39111,1.63819,1.13277,1.18966,0.003944,0.003944,0.003944
18,285.685,1.53834,1.16155,1.16404,0.72553,0.72813,0.76233,0.41211,1.46843,1.16842,1.16084,0.003878,0.003878,0.003878
19,301.402,1.51531,1.16171,1.16329,0.74968,0.69504,0.77442,0.45092,1.42618,1.10898,1.1403,0.003812,0.003812,0.003812
20,317.071,1.48906,1.13874,1.13997,0.75939,0.72375,0.77523,0.39171,1.57347,1.17034,1.14275,0.003746,0.003746,0.003746
21,332.686,1.48516,1.16782,1.12707,0.71381,0.82549,0.78291,0.42031,1.4705,1.13378,1.13803,0.00368,0.00368,0.00368
22,348.545,1.44866,1.13107,1.11679,0.73149,0.72813,0.76375,0.39961,1.52239,1.20017,1.14506,0.003614,0.003614,0.003614
23,364.312,1.47437,1.15307,1.12612,0.72358,0.71395,0.79755,0.39381,1.50614,1.16817,1.18504,0.003548,0.003548,0.003548
24,379.902,1.40724,1.08867,1.10679,0.77369,0.82742,0.80975,0.42576,1.4878,1.07794,1.14863,0.003482,0.003482,0.003482
25,395.658,1.44277,1.09318,1.12535,0.84254,0.7565,0.85383,0.50355,1.34753,0.99596,1.12617,0.003416,0.003416,0.003416
26,411.868,1.35793,1.04119,1.0883,0.73997,0.80729,0.83162,0.46976,1.3329,1.04574,1.11244,0.00335,0.00335,0.00335
