epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.11223,2.57782,10.3694,1.26824,0.00047,0.11504,0.0003,0.00014,2.03633,5.55647,1.00509,0.0691057,0.00162602,0.00162602
2,5.71727,2.12039,4.3854,1.03369,0.00257,0.62832,0.12529,0.04221,2.14295,4.44784,0.95465,0.0373956,0.00324922,0.00324922
3,8.20217,2.42093,3.44436,1.06138,0.50529,0.09735,0.24277,0.07034,2.40062,4.08982,0.98143,0.00564143,0.00482842,0.00482842
4,10.7138,2.39581,3.36781,1.15258,0.22412,0.31858,0.14764,0.03956,2.75937,3.75381,1.06942,0.004802,0.004802,0.004802
5,13.1604,2.54607,3.29631,1.10882,0.32888,0.26549,0.22731,0.07485,2.24765,3.2137,0.9812,0.004736,0.004736,0.004736
6,15.6752,2.39388,2.93723,1.06927,0.24268,0.32743,0.20708,0.06852,2.50756,2.90574,1.00774,0.00467,0.00467,0.00467
7,18.2112,2.25093,2.81282,1.02853,0.26432,0.25437,0.20907,0.0702,2.46165,3.10264,1.0206,0.004604,0.004604,0.004604
8,20.5956,2.28264,2.52067,1.01681,0.25762,0.39823,0.26362,0.09836,2.24684,2.86373,0.96019,0.004538,0.004538,0.004538
9,23.0766,2.16228,2.35997,1.00558,0.25698,0.30973,0.22524,0.06327,2.55737,2.68795,0.97781,0.004472,0.004472,0.004472
10,25.4859,2.06837,2.25722,1.02415,0.45735,0.53704,0.42401,0.14108,2.29415,2.38733,0.98229,0.004406,0.004406,0.004406
11,27.99,2.26226,2.06903,1.04009,0.46116,0.50442,0.43608,0.17517,2.1462,2.07064,0.92721,0.00434,0.00434,0.00434
12,30.611,2.03768,1.90806,1.00747,0.43607,0.51324,0.37714,0.15032,2.25435,1.99592,0.94538,0.004274,0.004274,0.004274
13,33.0332,1.97859,1.88325,0.99168,0.43028,0.53097,0.39619,0.14082,2.11041,1.92268,0.9247,0.004208,0.004208,0.004208
14,35.4868,2.00393,1.71146,0.96499,0.3889,0.51327,0.34185,0.12173,2.2031,2.00979,0.93262,0.004142,0.004142,0.004142
15,37.8572,2.07478,1.90148,1.01012,0.43545,0.51327,0.44498,0.20749,1.93383,1.78369,0.94103,0.004076,0.004076,0.004076
16,40.4046,1.85527,1.62555,0.95004,0.48241,0.56637,0.50582,0.2203,2.00126,1.72546,0.91255,0.00401,0.00401,0.00401
17,42.9872,1.95311,1.67291,0.9509,0.48301,0.44248,0.42737,0.17022,2.05479,1.67819,0.89954,0.003944,0.003944,0.003944
18,45.4229,1.89056,1.64885,0.95743,0.46675,0.61062,0.48958,0.23884,1.90549,1.5432,0.90194,0.003878,0.003878,0.003878
19,47.9148,1.86793,1.61262,0.95847,0.41811,0.46903,0.4024,0.19297,1.95448,1.59646,0.89961,0.003812,0.003812,0.003812
20,50.3107,1.90754,1.66155,0.99018,0.44923,0.58467,0.50119,0.20962,2.14135,1.81223,0.89588,0.003746,0.003746,0.003746
21,52.7246,1.87482,1.58394,0.95571,0.41994,0.64068,0.45277,0.16477,2.05513,1.5694,0.89535,0.00368,0.00368,0.00368
22,55.2304,1.8514,1.49268,0.94277,0.60207,0.55752,0.57672,0.24103,1.97279,1.4545,0.89935,0.003614,0.003614,0.003614
23,57.7603,1.78315,1.43303,0.96241,0.54625,0.61947,0.56775,0.25648,1.8057,1.40358,0.87528,0.003548,0.003548,0.003548
24,60.2968,1.75982,1.32517,0.96386,0.60743,0.60177,0.63575,0.28038,1.85871,1.30969,0.90022,0.003482,0.003482,0.003482
25,62.7033,1.70648,1.30145,0.94488,0.62038,0.52212,0.57634,0.27107,1.84834,1.41911,0.87098,0.003416,0.003416,0.003416
26,65.1265,1.6537,1.34922,0.93588,0.60808,0.63163,0.63585,0.27286,1.83195,1.40507,0.8703,0.00335,0.00335,0.00335
