epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8067,2.56203,12.11,1.71379,0.60966,0.47104,0.53103,0.26397,1.67481,1.88517,1.15183,0.0679273,0.000654545,0.000654545
2,32.7586,1.628,1.77594,1.12308,0.6731,0.54826,0.5969,0.29628,1.70135,1.35544,1.16737,0.0352432,0.00130377,0.00130377
3,48.9387,1.60336,1.66258,1.10049,0.67655,0.53668,0.64432,0.28218,1.76863,1.40864,1.22667,0.00254146,0.0019354,0.0019354
4,64.1247,1.64847,1.50909,1.12344,0.40145,0.38585,0.31298,0.11641,1.97967,1.99827,1.31497,0.0019208,0.0019208,0.0019208
5,79.9247,1.6715,1.44396,1.13326,0.50245,0.61004,0.54719,0.24359,1.68133,1.34224,1.2515,0.0018944,0.0018944,0.0018944
6,95.096,1.629,1.26807,1.15403,0.55538,0.62548,0.60459,0.27499,1.71289,1.3318,1.19577,0.001868,0.001868,0.001868
7,111.122,1.67412,1.2372,1.12088,0.56602,0.58687,0.62117,0.2791,1.77054,1.31414,1.20051,0.0018416,0.0018416,0.0018416
8,126.294,1.56392,1.1789,1.11378,0.63857,0.50965,0.619,0.26811,1.89758,1.27539,1.17425,0.0018152,0.0018152,0.0018152
9,142.019,1.59595,1.2118,1.12119,0.67616,0.71042,0.71561,0.35911,1.60334,1.0773,1.10993,0.0017888,0.0017888,0.0017888
10,157.54,1.51611,1.13243,1.05716,0.64869,0.62548,0.6769,0.3334,1.58524,1.21209,1.12246,0.0017624,0.0017624,0.0017624
11,173.239,1.51611,1.1452,1.08033,0.64828,0.62548,0.61427,0.29865,1.5699,1.38684,1.18045,0.001736,0.001736,0.001736
12,188.735,1.43525,1.06326,1.06674,0.69253,0.65222,0.71469,0.37065,1.59542,1.1757,1.14995,0.0017096,0.0017096,0.0017096
13,204.81,1.42228,1.05166,1.03978,0.72401,0.74131,0.79488,0.41159,1.41107,1.08705,1.05472,0.0016832,0.0016832,0.0016832
14,220.33,1.43236,1.00897,1.0351,0.75602,0.73745,0.80591,0.4443,1.45211,1.01341,1.06219,0.0016568,0.0016568,0.0016568
15,236.434,1.39933,0.99333,1.03137,0.64819,0.72973,0.75538,0.41466,1.43143,1.09753,1.09154,0.0016304,0.0016304,0.0016304
16,251.562,1.39885,0.98988,1.05655,0.7312,0.71429,0.77833,0.40266,1.5302,1.03773,1.12321,0.001604,0.001604,0.001604
17,267.662,1.39228,0.97553,1.02073,0.78019,0.81853,0.86419,0.49029,1.42235,0.95999,1.07124,0.0015776,0.0015776,0.0015776
18,283.162,1.3819,0.96524,1.01061,0.67969,0.67954,0.71945,0.35646,1.60825,1.12719,1.15554,0.0015512,0.0015512,0.0015512
19,298.85,1.36463,0.96051,1.02782,0.70053,0.69112,0.76303,0.40885,1.47196,1.08996,1.11034,0.0015248,0.0015248,0.0015248
20,313.954,1.31443,0.91883,0.99083,0.76541,0.62934,0.74186,0.39476,1.51352,1.23322,1.09455,0.0014984,0.0014984,0.0014984
21,329.726,1.36844,0.93655,1.00149,0.79741,0.8417,0.88015,0.50463,1.38055,0.90355,1.03947,0.001472,0.001472,0.001472
22,345.519,1.32864,0.92915,0.98226,0.80401,0.7286,0.8185,0.4609,1.41148,0.94625,1.03018,0.0014456,0.0014456,0.0014456
23,361.236,1.39462,0.95741,1.00709,0.72428,0.73024,0.79307,0.42073,1.50895,1.06874,1.08989,0.0014192,0.0014192,0.0014192
24,376.425,1.28901,0.90873,0.99242,0.75207,0.79151,0.85607,0.50403,1.30549,0.96537,1.03755,0.0013928,0.0013928,0.0013928
25,392.209,1.32769,0.90952,0.99192,0.81435,0.7722,0.86453,0.4783,1.38435,0.95484,1.06753,0.0013664,0.0013664,0.0013664
26,407.397,1.27969,0.8742,0.9831,0.76711,0.86482,0.87417,0.49317,1.41693,0.91205,1.0222,0.00134,0.00134,0.00134
27,423.417,1.25985,0.84945,0.95928,0.83252,0.80607,0.87892,0.53032,1.31851,0.85577,1.02516,0.0013136,0.0013136,0.0013136
28,438.941,1.25424,0.85459,0.96165,0.85664,0.76834,0.86532,0.51214,1.38244,0.89741,1.01982,0.0012872,0.0012872,0.0012872
29,454.688,1.31225,0.86475,0.97148,0.81218,0.87259,0.90177,0.50716,1.37491,0.88886,1.03435,0.0012608,0.0012608,0.0012608
30,469.843,1.25362,0.82598,0.9589,0.80558,0.81081,0.86696,0.50649,1.43251,0.84568,1.04958,0.0012344,0.0012344,0.0012344
31,485.529,1.29309,0.84794,0.981,0.786,0.7516,0.87562,0.55268,1.2041,0.86845,1.00377,0.001208,0.001208,0.001208
32,501.388,1.2333,0.83024,0.96786,0.83934,0.82239,0.88472,0.52113,1.34759,0.88479,1.01944,0.0011816,0.0011816,0.0011816
33,517.15,1.25246,0.81885,0.96621,0.88539,0.83398,0.91162,0.53381,1.2934,0.85607,1.00208,0.0011552,0.0011552,0.0011552
34,532.335,1.18285,0.79426,0.93746,0.8219,0.87305,0.88504,0.4894,1.32976,0.91151,1.01694,0.0011288,0.0011288,0.0011288
35,548.057,1.1692,0.78333,0.94517,0.84312,0.89229,0.91327,0.52905,1.34547,0.82508,1.0082,0.0011024,0.0011024,0.0011024
36,563.246,1.16736,0.78141,0.94846,0.79059,0.7027,0.79619,0.48034,1.33034,1.18614,1.07988,0.001076,0.001076,0.001076
37,579.334,1.13252,0.76166,0.9377,0.90784,0.85714,0.94344,0.57581,1.25095,0.78075,0.98159,0.0010496,0.0010496,0.0010496
